Baseline
FEMALE
0-0
Latinoamerikaner                & 1 & 2 & 0.230 & 0.114 & 0.096 \\
Amerkianische Ureinwohner       & 1 & 2 & 0.189 & 0.082 & 0.092 \\
Andere                          & 1 & 2 & 0.134 & 0.056 & 0.044 \\

1-3
Weiss                           & 1 & 3 & 0.058 & 0.098 & 0.071 \\
Afroamerikaner                  & 1 & 3 & 0.257 & 0.114 & 0.133 \\
Asiaten                         & 1 & 3 & 0.000 & 0.000 & 0.001 \\
Latinoamerikaner                & 1 & 3 & 0.046 & 0.017 & 0.020 \\
Amerkianische Ureinwohner       & 1 & 3 & 0.150 & 0.030 & 0.028 \\
Andere                          & 1 & 3 & 0.087 & 0.017 & 0.010 \\

2-0
Weiss                           & 2 & 0 & 0.284 & 0.540 & 0.255 \\
Afroamerikaner                  & 2 & 0 & 0.629 & 0.446 & 0.246 \\
Asiaten                         & 2 & 0 & 0.045 & 0.089 & 0.275 \\
Latinoamerikaner                & 2 & 0 & 0.324 & 0.496 & 0.299 \\
Amerkianische Ureinwohner       & 2 & 0 & 0.783 & 0.260 & 0.185 \\
Andere                          & 2 & 0 & 0.713 & 0.194 & 0.171 \\

2-1
Weiss                           & 2 & 1 & 0.208 & 0.378 & 0.298 \\
Afroamerikaner                  & 2 & 1 & 0.628 & 0.248 & 0.194 \\
Asiaten                         & 2 & 1 & 0.011 & 0.083 & 0.208 \\
Latinoamerikaner                & 2 & 1 & 0.309 & 0.332 & 0.282 \\
Amerkianische Ureinwohner       & 2 & 1 & 0.657 & 0.182 & 0.229 \\
Andere                          & 2 & 1 & 0.594 & 0.183 & 0.229 \\

2-2
Weiss                           & 2 & 2 & 0.198 & 0.355 & 0.279 \\
Afroamerikaner                  & 2 & 2 & 0.340 & 0.206 & 0.166 \\
Asiaten                         & 2 & 2 & 0.010 & 0.072 & 0.078 \\
Latinoamerikaner                & 2 & 2 & 0.313 & 0.269 & 0.186 \\
Amerkianische Ureinwohner       & 2 & 2 & 0.312 & 0.155 & 0.235 \\
Andere                          & 2 & 2 & 0.237 & 0.164 & 0.150 \\

2-3
Weiss                           & 2 & 3 & 0.247 & 0.313 & 0.226 \\
Afroamerikaner                  & 2 & 3 & 0.354 & 0.191 & 0.167 \\
Asiaten                         & 2 & 3 & 0.009 & 0.021 & 0.025 \\
Latinoamerikaner                & 2 & 3 & 0.313 & 0.151 & 0.106 \\
Amerkianische Ureinwohner       & 2 & 3 & 0.281 & 0.148 & 0.216 \\
Andere                          & 2 & 3 & 0.242 & 0.154 & 0.088 \\

3-0
Weiss                           & 3 & 0 & 0.617 & 0.548 & 0.258 \\
Afroamerikaner                  & 3 & 0 & 0.710 & 0.540 & 0.232 \\
Asiaten                         & 3 & 0 & 0.603 & 0.269 & 0.345 \\
Latinoamerikaner                & 3 & 0 & 0.548 & 0.540 & 0.281 \\
Amerkianische Ureinwohner       & 3 & 0 & 0.812 & 0.536 & 0.227 \\
Andere                          & 3 & 0 & 0.807 & 0.368 & 0.197 \\

3-1
Weiss                           & 3 & 1 & 0.717 & 0.514 & 0.302 \\
Afroamerikaner                  & 3 & 1 & 0.699 & 0.329 & 0.197 \\
Asiaten                         & 3 & 1 & 0.098 & 0.298 & 0.329 \\
Latinoamerikaner                & 3 & 1 & 0.592 & 0.337 & 0.268 \\
Amerkianische Ureinwohner       & 3 & 1 & 0.674 & 0.370 & 0.265 \\
Andere                          & 3 & 1 & 0.746 & 0.299 & 0.201 \\

3-2
Weiss                           & 3 & 2 & 0.557 & 0.382 & 0.315 \\
Afroamerikaner                  & 3 & 2 & 0.567 & 0.297 & 0.199 \\
Asiaten                         & 3 & 2 & 0.058 & 0.228 & 0.282 \\
Latinoamerikaner                & 3 & 2 & 0.627 & 0.336 & 0.226 \\
Amerkianische Ureinwohner       & 3 & 2 & 0.575 & 0.320 & 0.262 \\
Andere                          & 3 & 2 & 0.617 & 0.277 & 0.203 \\

3-3
Weiss                           & 3 & 3 & 0.327 & 0.347 & 0.292 \\
Afroamerikaner                  & 3 & 3 & 0.555 & 0.292 & 0.205 \\
Asiaten                         & 3 & 3 & 0.064 & 0.146 & 0.179 \\
Latinoamerikaner                & 3 & 3 & 0.389 & 0.337 & 0.255 \\
Amerkianische Ureinwohner       & 3 & 3 & 0.386 & 0.249 & 0.262 \\
Andere                          & 3 & 3 & 0.360 & 0.273 & 0.205 \\




